ID,Language_ID,Parameter_ID,Value,Code_ID,Comment
hand_replacement-kana1286,kana1286,hand_replacement,Proto-Tsouic *ramuCu ‘finger’ ? ‘hand’ ?,hand_replacement-partofthearm,
colex-saar1237,saar1237,colex,lexically distinct,colex-lexicallydistinct,
dist-saar1237,saar1237,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-saar1237,saar1237,repl_hand,yes,repl_hand-yes,
repl_five-saar1237,saar1237,repl_five,no,repl_five-no,
hand_replacement-saar1237,saar1237,hand_replacement,Proto-Tsouic *ramuCu ‘finger’ ? ‘hand’ ?,hand_replacement-partofthearm,
colex-tsou1248,tsou1248,colex,lexically distinct,colex-lexicallydistinct,
dist-tsou1248,tsou1248,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-tsou1248,tsou1248,repl_hand,yes,repl_hand-yes,
repl_five-tsou1248,tsou1248,repl_five,no,repl_five-no,
hand_replacement-tsou1248,tsou1248,hand_replacement,Proto-Tsouic *ramuCu ‘finger’ ? ‘hand’ ?,hand_replacement-partofthearm,
colex-ruka1240,ruka1240,colex,partial colexification,colex-partialcolexification,
repl_hand-ruka1240,ruka1240,repl_hand,no,repl_hand-no,
repl_five-ruka1240,ruka1240,repl_five,no,repl_five-no,
colex-puyu1239,puyu1239,colex,full colexification,colex-fullcolexification,
repl_hand-puyu1239,puyu1239,repl_hand,no,repl_hand-no,
repl_five-puyu1239,puyu1239,repl_five,no,repl_five-no,
colex-paiw1248,paiw1248,colex,full colexification,colex-fullcolexification,
repl_hand-paiw1248,paiw1248,repl_hand,no,repl_hand-no,
repl_five-paiw1248,paiw1248,repl_five,no,repl_five-no,
colex-yami1254,yami1254,colex,full colexification,colex-fullcolexification,
repl_hand-yami1254,yami1254,repl_hand,no,repl_hand-no,
repl_five-yami1254,yami1254,repl_five,no,repl_five-no,
colex-ivat1242,ivat1242,colex,full colexification,colex-fullcolexification,
repl_hand-ivat1242,ivat1242,repl_hand,no,repl_hand-no,
repl_five-ivat1242,ivat1242,repl_five,no,repl_five-no,
colex-ibat1238,ibat1238,colex,lexically distinct,colex-lexicallydistinct,
dist-ibat1238,ibat1238,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-ibat1238,ibat1238,repl_hand,yes,repl_hand-yes,
repl_five-ibat1238,ibat1238,repl_five,no,repl_five-no,
hand_replacement-ibat1238,ibat1238,hand_replacement,unclear,hand_replacement-unclear,
colex-isna1241,isna1241,colex,lexically distinct,colex-lexicallydistinct,
dist-isna1241,isna1241,dist,phonological change,dist-phonologicalchange,
repl_hand-isna1241,isna1241,repl_hand,no,repl_hand-no,
repl_five-isna1241,isna1241,repl_five,no,repl_five-no,
colex-fair1238,fair1238,colex,unknown,colex-unknown,
repl_hand-fair1238,fair1238,repl_hand,unknown,repl_hand-unknown,
repl_five-fair1238,fair1238,repl_five,no,repl_five-no,
colex-pamp1244,pamp1244,colex,full colexification,colex-fullcolexification,
repl_hand-pamp1244,pamp1244,repl_hand,no,repl_hand-no,
repl_five-pamp1244,pamp1244,repl_five,no,repl_five-no,
colex-pudt1235,pudt1235,colex,unknown,colex-unknown,
repl_hand-pudt1235,pudt1235,repl_hand,unknown,repl_hand-unknown,
repl_five-pudt1235,pudt1235,repl_five,no,repl_five-no,
colex-mala1534,mala1534,colex,unknown,colex-unknown,
repl_hand-mala1534,mala1534,repl_hand,unknown,repl_hand-unknown,
repl_five-mala1534,mala1534,repl_five,no,repl_five-no,
colex-adas1235,adas1235,colex,unknown,colex-unknown,
repl_hand-adas1235,adas1235,repl_hand,unknown,repl_hand-unknown,
repl_five-adas1235,adas1235,repl_five,no,repl_five-no,
colex-iban1267,iban1267,colex,full colexification,colex-fullcolexification,
repl_hand-iban1267,iban1267,repl_hand,no,repl_hand-no,
repl_five-iban1267,iban1267,repl_five,no,repl_five-no,
colex-gada1258,gada1258,colex,unknown,colex-unknown,
repl_hand-gada1258,gada1258,repl_hand,unknown,repl_hand-unknown,
repl_five-gada1258,gada1258,repl_five,no,repl_five-no,
colex-gadd1244,gadd1244,colex,lexically distinct,colex-lexicallydistinct,
dist-gadd1244,gadd1244,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-gadd1244,gadd1244,repl_hand,yes,repl_hand-yes,
repl_five-gadd1244,gadd1244,repl_five,no,repl_five-no,
hand_replacement-gadd1244,gadd1244,hand_replacement,"PMP *leŋen ‘forearm, lower arm’ ?",hand_replacement-partofthearm,
colex-cent2084,cent2084,colex,lexically distinct,colex-lexicallydistinct,
dist-cent2084,cent2084,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-cent2084,cent2084,repl_hand,yes,repl_hand-yes,
repl_five-cent2084,cent2084,repl_five,no,repl_five-no,
hand_replacement-cent2084,cent2084,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-itaw1240,itaw1240,colex,lexically distinct,colex-lexicallydistinct,
dist-itaw1240,itaw1240,dist,phonological change,dist-phonologicalchange,
repl_hand-itaw1240,itaw1240,repl_hand,no,repl_hand-no,
repl_five-itaw1240,itaw1240,repl_five,no,repl_five-no,
colex-yoga1237,yoga1237,colex,lexically distinct,colex-lexicallydistinct,
dist-yoga1237,yoga1237,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-yoga1237,yoga1237,repl_hand,yes,repl_hand-yes,
repl_five-yoga1237,yoga1237,repl_five,no,repl_five-no,
hand_replacement-yoga1237,yoga1237,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-dica1235,dica1235,colex,unknown,colex-unknown,
repl_hand-dica1235,dica1235,repl_hand,unknown,repl_hand-unknown,
repl_five-dica1235,dica1235,repl_five,no,repl_five-no,
colex-dupa1235,dupa1235,colex,lexically distinct,colex-lexicallydistinct,
dist-dupa1235,dupa1235,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-dupa1235,dupa1235,repl_hand,yes,repl_hand-yes,
repl_five-dupa1235,dupa1235,repl_five,no,repl_five-no,
hand_replacement-dupa1235,dupa1235,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-casi1235,casi1235,colex,lexically distinct,colex-lexicallydistinct,
dist-casi1235,casi1235,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-casi1235,casi1235,repl_hand,yes,repl_hand-yes,
repl_five-casi1235,casi1235,repl_five,no,repl_five-no,
hand_replacement-casi1235,casi1235,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-agta1234,agta1234,colex,unknown,colex-unknown,
repl_hand-agta1234,agta1234,repl_hand,unknown,repl_hand-unknown,
repl_five-agta1234,agta1234,repl_five,no,repl_five-no,
colex-para1306,para1306,colex,unknown,colex-unknown,
repl_hand-para1306,para1306,repl_hand,unknown,repl_hand-unknown,
repl_five-para1306,para1306,repl_five,no,repl_five-no,
colex-bino1237,bino1237,colex,lexically distinct,colex-lexicallydistinct,
dist-bino1237,bino1237,dist,phonological change,dist-phonologicalchange,
repl_hand-bino1237,bino1237,repl_hand,no,repl_hand-no,
repl_five-bino1237,bino1237,repl_five,no,repl_five-no,
colex-inla1260,inla1260,colex,unknown,colex-unknown,
repl_hand-inla1260,inla1260,repl_hand,unknown,repl_hand-unknown,
repl_five-inla1260,inla1260,repl_five,no,repl_five-no,
colex-lubu1243,lubu1243,colex,lexically distinct,colex-lexicallydistinct,
dist-lubu1243,lubu1243,dist,phonological change,dist-phonologicalchange,
repl_hand-lubu1243,lubu1243,repl_hand,no,repl_hand-no,
repl_five-lubu1243,lubu1243,repl_five,no,repl_five-no,
colex-sout2908,sout2908,colex,lexically distinct,colex-lexicallydistinct,
dist-sout2908,sout2908,dist,phonological change,dist-phonologicalchange,
repl_hand-sout2908,sout2908,repl_hand,no,repl_hand-no,
repl_five-sout2908,sout2908,repl_five,no,repl_five-no,
colex-butb1235,butb1235,colex,unknown,colex-unknown,
repl_hand-butb1235,butb1235,repl_hand,unknown,repl_hand-unknown,
repl_five-butb1235,butb1235,repl_five,no,repl_five-no,
colex-madu1248,madu1248,colex,unknown,colex-unknown,
repl_hand-madu1248,madu1248,repl_hand,unknown,repl_hand-unknown,
repl_five-madu1248,madu1248,repl_five,no,repl_five-no,
colex-lowe1412,lowe1412,colex,lexically distinct,colex-lexicallydistinct,
dist-lowe1412,lowe1412,dist,phonological change,dist-phonologicalchange,
repl_hand-lowe1412,lowe1412,repl_hand,no,repl_hand-no,
repl_five-lowe1412,lowe1412,repl_five,no,repl_five-no,
colex-masa1307,masa1307,colex,unknown,colex-unknown,
repl_hand-masa1307,masa1307,repl_hand,unknown,repl_hand-unknown,
repl_five-masa1307,masa1307,repl_five,no,repl_five-no,
colex-moya1235,moya1235,colex,unknown,colex-unknown,
repl_hand-moya1235,moya1235,repl_hand,unknown,repl_hand-unknown,
repl_five-moya1235,moya1235,repl_five,no,repl_five-no,
colex-limo1248,limo1248,colex,lexically distinct,colex-lexicallydistinct,
dist-limo1248,limo1248,dist,phonological change,dist-phonologicalchange,
repl_hand-limo1248,limo1248,repl_hand,no,repl_hand-no,
repl_five-limo1248,limo1248,repl_five,no,repl_five-no,
colex-bana1288,bana1288,colex,unknown,colex-unknown,
repl_hand-bana1288,bana1288,repl_hand,unknown,repl_hand-unknown,
repl_five-bana1288,bana1288,repl_five,unknown,repl_five-unknown,
colex-maba1279,maba1279,colex,unknown,colex-unknown,
repl_hand-maba1279,maba1279,repl_hand,unknown,repl_hand-unknown,
repl_five-maba1279,maba1279,repl_five,no,repl_five-no,
colex-bala1310,bala1310,colex,lexically distinct,colex-lexicallydistinct,
dist-bala1310,bala1310,dist,phonological change,dist-phonologicalchange,
repl_hand-bala1310,bala1310,repl_hand,no,repl_hand-no,
repl_five-bala1310,bala1310,repl_five,no,repl_five-no,
colex-cent2292,cent2292,colex,full colexification,colex-fullcolexification,
repl_hand-cent2292,cent2292,repl_hand,no,repl_hand-no,
repl_five-cent2292,cent2292,repl_five,no,repl_five-no,
colex-fina1242,fina1242,colex,unknown,colex-unknown,
repl_hand-fina1242,fina1242,repl_hand,unknown,repl_hand-unknown,
repl_five-fina1242,fina1242,repl_five,no,repl_five-no,
colex-kank1243,kank1243,colex,lexically distinct,colex-lexicallydistinct,
dist-kank1243,kank1243,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-kank1243,kank1243,repl_hand,yes,repl_hand-yes,
repl_five-kank1243,kank1243,repl_five,no,repl_five-no,
hand_replacement-kank1243,kank1243,hand_replacement,unclear,hand_replacement-unclear,
colex-maen1235,maen1235,colex,unknown,colex-unknown,
repl_hand-maen1235,maen1235,repl_hand,unknown,repl_hand-unknown,
repl_five-maen1235,maen1235,repl_five,no,repl_five-no,
colex-nort2877,nort2877,colex,lexically distinct,colex-lexicallydistinct,
dist-nort2877,nort2877,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-nort2877,nort2877,repl_hand,yes,repl_hand-yes,
repl_five-nort2877,nort2877,repl_five,no,repl_five-no,
hand_replacement-nort2877,nort2877,hand_replacement,"PMP *leŋen ‘forearm, lower arm’ ?",hand_replacement-partofthearm,
colex-amga1235,amga1235,colex,lexically distinct,colex-lexicallydistinct,
dist-amga1235,amga1235,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-amga1235,amga1235,repl_hand,yes,repl_hand-yes,
repl_five-amga1235,amga1235,repl_five,no,repl_five-no,
hand_replacement-amga1235,amga1235,hand_replacement,unclear,hand_replacement-unclear,
colex-bata1298,bata1298,colex,lexically distinct,colex-lexicallydistinct,
dist-bata1298,bata1298,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-bata1298,bata1298,repl_hand,yes,repl_hand-yes,
repl_five-bata1298,bata1298,repl_five,no,repl_five-no,
hand_replacement-bata1298,bata1298,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-mayo1262,mayo1262,colex,unknown,colex-unknown,
repl_hand-mayo1262,mayo1262,repl_hand,unknown,repl_hand-unknown,
repl_five-mayo1262,mayo1262,repl_five,no,repl_five-no,
colex-tuwa1243,tuwa1243,colex,unknown,colex-unknown,
repl_hand-tuwa1243,tuwa1243,repl_hand,unknown,repl_hand-unknown,
repl_five-tuwa1243,tuwa1243,repl_five,no,repl_five-no,
colex-isin1239,isin1239,colex,full colexification,colex-fullcolexification,
repl_hand-isin1239,isin1239,repl_hand,no,repl_hand-no,
repl_five-isin1239,isin1239,repl_five,no,repl_five-no,
colex-ilon1239,ilon1239,colex,lexically distinct,colex-lexicallydistinct,
dist-ilon1239,ilon1239,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-ilon1239,ilon1239,repl_hand,no,repl_hand-no,
repl_five-ilon1239,ilon1239,repl_five,yes,repl_five-yes,
five_replacement-ilon1239,ilon1239,five_replacement,one count ?,five_replacement-count,
colex-iwak1237,iwak1237,colex,unknown,colex-unknown,
repl_hand-iwak1237,iwak1237,repl_hand,unknown,repl_hand-unknown,
repl_five-iwak1237,iwak1237,repl_five,no,repl_five-no,
colex-ibal1244,ibal1244,colex,lexically distinct,colex-lexicallydistinct,
dist-ibal1244,ibal1244,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-ibal1244,ibal1244,repl_hand,yes,repl_hand-yes,
repl_five-ibal1244,ibal1244,repl_five,no,repl_five-no,
hand_replacement-ibal1244,ibal1244,hand_replacement,unclear,hand_replacement-unclear,
colex-ahin1234,ahin1234,colex,lexically distinct,colex-lexicallydistinct,
dist-ahin1234,ahin1234,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-ahin1234,ahin1234,repl_hand,yes,repl_hand-yes,
repl_five-ahin1234,ahin1234,repl_five,no,repl_five-no,
hand_replacement-ahin1234,ahin1234,hand_replacement,unclear,hand_replacement-unclear,
colex-kele1259,kele1259,colex,lexically distinct,colex-lexicallydistinct,
dist-kele1259,kele1259,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-kele1259,kele1259,repl_hand,yes,repl_hand-yes,
repl_five-kele1259,kele1259,repl_five,no,repl_five-no,
hand_replacement-kele1259,kele1259,hand_replacement,unclear,hand_replacement-unclear,
colex-kara1487,kara1487,colex,unknown,colex-unknown,
repl_hand-kara1487,kara1487,repl_hand,unknown,repl_hand-unknown,
repl_five-kara1487,kara1487,repl_five,no,repl_five-no,
colex-pang1290,pang1290,colex,full colexification,colex-fullcolexification,
repl_hand-pang1290,pang1290,repl_hand,no,repl_hand-no,
repl_five-pang1290,pang1290,repl_five,no,repl_five-no,
colex-nort2875,nort2875,colex,unknown,colex-unknown,
repl_hand-nort2875,nort2875,repl_hand,unknown,repl_hand-unknown,
repl_five-nort2875,nort2875,repl_five,no,repl_five-no,
colex-sout2905,sout2905,colex,unknown,colex-unknown,
repl_hand-sout2905,sout2905,repl_hand,unknown,repl_hand-unknown,
repl_five-sout2905,sout2905,repl_five,no,repl_five-no,
colex-arta1239,arta1239,colex,full colexification,colex-fullcolexification,
repl_hand-arta1239,arta1239,repl_hand,no,repl_hand-no,
repl_five-arta1239,arta1239,repl_five,no,repl_five-no,
colex-ilok1237,ilok1237,colex,lexically distinct,colex-lexicallydistinct,
dist-ilok1237,ilok1237,dist,phonological change,dist-phonologicalchange,
repl_hand-ilok1237,ilok1237,repl_hand,no,repl_hand-no,
repl_five-ilok1237,ilok1237,repl_five,no,repl_five-no,
colex-aben1249,aben1249,colex,lexically distinct,colex-lexicallydistinct,
dist-aben1249,aben1249,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-aben1249,aben1249,repl_hand,yes,repl_hand-yes,
repl_five-aben1249,aben1249,repl_five,no,repl_five-no,
hand_replacement-aben1249,aben1249,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-boto1242,boto1242,colex,lexically distinct,colex-lexicallydistinct,
dist-boto1242,boto1242,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-boto1242,boto1242,repl_hand,yes,repl_hand-yes,
repl_five-boto1242,boto1242,repl_five,no,repl_five-no,
hand_replacement-boto1242,boto1242,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-amba1267,amba1267,colex,lexically distinct,colex-lexicallydistinct,
dist-amba1267,amba1267,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-amba1267,amba1267,repl_hand,yes,repl_hand-yes,
repl_five-amba1267,amba1267,repl_five,no,repl_five-no,
hand_replacement-amba1267,amba1267,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-bata1297,bata1297,colex,unknown,colex-unknown,
repl_hand-bata1297,bata1297,repl_hand,unknown,repl_hand-unknown,
repl_five-bata1297,bata1297,repl_five,no,repl_five-no,
colex-maga1263,maga1263,colex,lexically distinct,colex-lexicallydistinct,
dist-maga1263,maga1263,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-maga1263,maga1263,repl_hand,yes,repl_hand-yes,
repl_five-maga1263,maga1263,repl_five,no,repl_five-no,
hand_replacement-maga1263,maga1263,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-magi1241,magi1241,colex,lexically distinct,colex-lexicallydistinct,
dist-magi1241,magi1241,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-magi1241,magi1241,repl_hand,yes,repl_hand-yes,
repl_five-magi1241,magi1241,repl_five,no,repl_five-no,
hand_replacement-magi1241,magi1241,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-boli1256,boli1256,colex,lexically distinct,colex-lexicallydistinct,
dist-boli1256,boli1256,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-boli1256,boli1256,repl_hand,yes,repl_hand-yes,
repl_five-boli1256,boli1256,repl_five,no,repl_five-no,
hand_replacement-boli1256,boli1256,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-tina1248,tina1248,colex,lexically distinct,colex-lexicallydistinct,
dist-tina1248,tina1248,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-tina1248,tina1248,repl_hand,yes,repl_hand-yes,
repl_five-tina1248,tina1248,repl_five,no,repl_five-no,
hand_replacement-tina1248,tina1248,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-pamp1243,pamp1243,colex,lexically distinct,colex-lexicallydistinct,
dist-pamp1243,pamp1243,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-pamp1243,pamp1243,repl_hand,yes,repl_hand-yes,
repl_five-pamp1243,pamp1243,repl_five,no,repl_five-no,
hand_replacement-pamp1243,pamp1243,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-remo1247,remo1247,colex,partial colexification,colex-partialcolexification,
repl_hand-remo1247,remo1247,repl_hand,no,repl_hand-no,
repl_five-remo1247,remo1247,repl_five,no,repl_five-no,
colex-kasi1256,kasi1256,colex,unknown,colex-unknown,
repl_hand-kasi1256,kasi1256,repl_hand,unknown,repl_hand-unknown,
repl_five-kasi1256,kasi1256,repl_five,no,repl_five-no,
colex-taga1270,taga1270,colex,lexically distinct,colex-lexicallydistinct,
dist-taga1270,taga1270,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-taga1270,taga1270,repl_hand,yes,repl_hand-yes,
repl_five-taga1270,taga1270,repl_five,no,repl_five-no,
hand_replacement-taga1270,taga1270,hand_replacement,PAN *kamay ‘hand’,hand_replacement-handwordotherthanqalima,
colex-fili1244,fili1244,colex,unknown,colex-unknown,
repl_hand-fili1244,fili1244,repl_hand,unknown,repl_hand-unknown,
repl_five-fili1244,fili1244,repl_five,no,repl_five-no,
colex-alab1246,alab1246,colex,partial colexification,colex-partialcolexification,
repl_hand-alab1246,alab1246,repl_hand,no,repl_hand-no,
repl_five-alab1246,alab1246,repl_five,no,repl_five-no,
colex-cama1250,cama1250,colex,partial colexification,colex-partialcolexification,
repl_hand-cama1250,cama1250,repl_hand,no,repl_hand-no,
repl_five-cama1250,cama1250,repl_five,no,repl_five-no,
colex-cent2087,cent2087,colex,lexically distinct,colex-lexicallydistinct,
dist-cent2087,cent2087,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-cent2087,cent2087,repl_hand,yes,repl_hand-yes,
repl_five-cent2087,cent2087,repl_five,no,repl_five-no,
hand_replacement-cent2087,cent2087,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-sout2912,sout2912,colex,unknown,colex-unknown,
repl_hand-sout2912,sout2912,repl_hand,unknown,repl_hand-unknown,
repl_five-sout2912,sout2912,repl_five,no,repl_five-no,
colex-isar1235,isar1235,colex,unknown,colex-unknown,
repl_hand-isar1235,isar1235,repl_hand,unknown,repl_hand-unknown,
repl_five-isar1235,isar1235,repl_five,unknown,repl_five-unknown,
colex-mtir1236,mtir1236,colex,unknown,colex-unknown,
repl_hand-mtir1236,mtir1236,repl_hand,unknown,repl_hand-unknown,
repl_five-mtir1236,mtir1236,repl_five,no,repl_five-no,
colex-mtir1235,mtir1235,colex,unknown,colex-unknown,
repl_hand-mtir1235,mtir1235,repl_hand,unknown,repl_hand-unknown,
repl_five-mtir1235,mtir1235,repl_five,no,repl_five-no,
colex-alba1269,alba1269,colex,lexically distinct,colex-lexicallydistinct,
dist-alba1269,alba1269,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-alba1269,alba1269,repl_hand,yes,repl_hand-yes,
repl_five-alba1269,alba1269,repl_five,no,repl_five-no,
hand_replacement-alba1269,alba1269,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-irig1242,irig1242,colex,lexically distinct,colex-lexicallydistinct,
dist-irig1242,irig1242,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-irig1242,irig1242,repl_hand,yes,repl_hand-yes,
repl_five-irig1242,irig1242,repl_five,no,repl_five-no,
hand_replacement-irig1242,irig1242,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-nort2883,nort2883,colex,unknown,colex-unknown,
repl_hand-nort2883,nort2883,repl_hand,unknown,repl_hand-unknown,
repl_five-nort2883,nort2883,repl_five,no,repl_five-no,
colex-bant1288,bant1288,colex,lexically distinct,colex-lexicallydistinct,
dist-bant1288,bant1288,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-bant1288,bant1288,repl_hand,yes,repl_hand-yes,
repl_five-bant1288,bant1288,repl_five,no,repl_five-no,
hand_replacement-bant1288,bant1288,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-bant1293,bant1293,colex,unknown,colex-unknown,
repl_hand-bant1293,bant1293,repl_hand,unknown,repl_hand-unknown,
repl_five-bant1293,bant1293,repl_five,no,repl_five-no,
colex-capi1239,capi1239,colex,lexically distinct,colex-lexicallydistinct,
dist-capi1239,capi1239,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-capi1239,capi1239,repl_hand,yes,repl_hand-yes,
repl_five-capi1239,capi1239,repl_five,no,repl_five-no,
hand_replacement-capi1239,capi1239,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-hili1240,hili1240,colex,lexically distinct,colex-lexicallydistinct,
dist-hili1240,hili1240,dist,lexical replacement,dist-lexicalreplacement,
repl_hand-hili1240,hili1240,repl_hand,yes,repl_hand-yes,
repl_five-hili1240,hili1240,repl_five,no,repl_five-no,
hand_replacement-hili1240,hili1240,hand_replacement,PAN *kamay ‘hand’ ?,hand_replacement-handwordotherthanqalima,
colex-masb1237,masb1237,colex,unknown,colex-unknown,
repl_hand-masb1237,masb1237,repl_hand,unknown,repl_hand-unknown,
