Higher_count	Lower_count	Subgroup	Comment	Sources_of_‘hand’	Number_of_languages_in_subgroup	Number_of_languages_in_sample
122	72e	Tirax	possibly shared Malekula change (only Vao-Vovo, Big Nambas, and Maragus seem to reflect *qalima ‘hand’)	< PMP *baRa ‘hand, arm’	1	1
123	72f	Southwestern Malakula	possibly shared Malekula change (only Vao-Vovo, Big Nambas, and Maragus seem to reflect *qalima ‘hand’)	< PMP *baRa ‘hand, arm’	9	9
124	72g	Ninde-Nati	possibly shared Malekula change (only Vao-Vovo, Big Nambas, and Maragus seem to reflect *qalima ‘hand’)	< PMP *baRa ‘hand, arm’	2	2
125	72h	Eastern Malakula linkage	possibly shared Malekula change (only Vao-Vovo, Big Nambas, and Maragus seem to reflect *qalima ‘hand’)	< PMP *baRa ‘hand, arm’	12	12
126	73a	Seke-Sowa		unclear	2	2
127	74a	Sa		< PMP *baRa ‘hand, arm’	1	1
128	75a	Ambrym	possibly shared change between Ambrym/Paama	< PMP *baRa ‘hand, arm’	7	6
129	75b	Paama	possibly shared change between Ambrym/Paama	< PMP *baRa ‘hand, arm’	1	1
130	76a	Efate		unclear	4	4
131	77a	Erromanga	possibly loaned into Kwamera	< PMP *leŋen ‘forearm, lower arm’ (?)	3	2
132	77b	Kwamera	possibly loan from Erromanga	< PMP *leŋen ‘forearm, lower arm’ (?)	1	1
133	78a	Iaai		< PAN *paNij ‘wing’	1	1
134	79a	Mainland New Caledonia		< PAN *kuSkuS ‘claw, talon, fingernail’ (?); < PAN *paNij ‘wing’; unclear	30	30
135	80a	Rotuman		< PAN *paNij ‘wing’ (?)	1	1
