Language_name	Language_ID	Glottocode	Language_level_glottocode	Parameter_ID	Form	Comment	Cognacy	Dataset	Source	Pages	Ultimate_source	Language_comment
Bayau, Aceh	achi1257-2	achi1257	achi1257	five	limòng			barlowpacific	Stokhof1986Vol9	p.310		
Acehnese	648	achi1257	achi1257	hand	taŋɨn	(for animal)	18	abvd	Rajki-648-2009		various Internet sources	
Adasen, Philippines	adas1235-1	adas1235	adas1235	five	li'ma			chan2019	Adasen.htm		Mr. and Mrs. Mark & Rachel Steffen, NTM, Philippines, September, 1993.	Adasen has a decimal system to that of Isnag.
Adonara-Lamahotot, Indonesia	adon1237-1	adon1237	adon1237	five	lema			chan2019	Adonara-Lamahotot.htm		Dr. Philippe Grangé, Asia-Pacific Institute (IUAP), University of La Rochelle, La Rochelle, France, December 25, 2014.	Adonara-Lamahotot has a decimal system.
Lamahotot, Indonesia	adon1237-2	adon1237	adon1237	five	lema			chan2019	Lamahotot.htm		Dr. Philippe Grangé, Directeur de l'Institut Universitaire Asie-Pacifique, Université de La Rochelle Faculté des Lettres, Langues, Arts et Sciences Humaines, (University of La Rochelle), La Rochelle, France, December 25, 2014.	Lamahotot has a decimal system. The data was taken from Adonara dialect.
Lamahotot, Indonesia	adon1237-3	adon1237	adon1237	five	lɛma			chan2019	Lamahotot.htm		Dr. Karl Heinz Pampus, University of Frankfurt, Frankfurt, Germany, July 21, 2006.	Lamahotot has a decimal system. The data was taken from Lewolema dialect.
Adonara Lamaholot	lama1277-adona	adon1237	adon1237	five	ˈlema			lexirumah	klamer15			
Adonara Lamaholot	lama1277-adona	lama1277	adon1237	hand	ˈnaiʔjũ			lexirumah	klamer15			
Adonara Lamaholot, Botun	lama1277-botun	botu1239	adon1237	hand	lima			lexirumah	keraf1978			
Adonara Lamaholot, Dulhi	lama1277-dulhi	dulh1234	adon1237	hand	lima			lexirumah	keraf1978			
Adonara Lamaholot, Horowura	lama1277-horow	horo1249	adon1237	hand	limak			lexirumah	keraf1978			
Adonara Lamaholot, Kiwangona	lama1277-kiwan	kiwa1252	adon1237	hand	limak			lexirumah	keraf1978			
Adonara Lamaholot, Lamakera	lama1277-lamak	lama1298	adon1237	hand	limak			lexirumah	keraf1978			
Adonara Lamaholot, Waiwadan	lama1277-waiwa	waiw1246	adon1237	hand	limak			lexirumah	keraf1978			
Adonara Lamaholot, Watan	lama1277-watan	wata1254	adon1237	hand	limã			lexirumah	keraf1978			
Adzera, Papua New Guinea	adze1240-1	adze1240	adze1240	five	bɑŋin mɑɾɑfɑiʔ	( litː one hand )		chan2019	Adzera.htm		Mr. David Howard, SIL International, Papua New Guinea, May 20, 2011.	According to Sue Holzknecht's old data recorded 20 years ago. Adzera people might have an old counting system combines a counting system based on two with tallying on hand and feet up to 20. However, now Adzera really has only two basic numbers: one and two. Everything else is either a combination of those two numbers or some anatomical extension like one hand, two hands, etc. But Adzera never, to my knowledge, had a full counting system as some PNG languages do where they count different points on the body. I don't know what other Austronesian counting systems are like. Having only two and one and then having to use a hand for five makes for a very inefficient counting system, and traditionally they probably didn't have to do a lot of precision counting and math in their culture. So what has happened is Tok Pisin and English counting systems have largely replaced the Adzera counting system. When talking about only a few items, they will often use the Adzera numerals, but they sometimes use the Tok Pisin and English numbers even for small numbers and, in my experience, they always use Tok Pisin or English numerals for larger numbers (probably anything larger than five). Because those and many of the numbers Holzknecht gave would most likely be substituted with English and Tok Pisin numbers. You would be much more likely to hear 'five' or 'faivpela' or see '5' or '5-pela' written than to hear or see 'iruʔ da iruʔ da bitsʔ (two and two and one) or 'baŋin bitsintaʔ' (one hand) or 'baŋi marafain' (hand one-side). Sue uses a <c> to represent the alveo-palatal affricate, which is represented by <ts> in Adzera and usually <ch> in English. This is often pronounced closer to [ts] in English. For 'one' I often hear [bisinta'], rather than [bitsinta'], but generally continue to spell it with a <ts> rather than just <s>. This may be dialect variation. The short form is [bits], with the <ts> consistently more alveolar than alveo-palatal, i.e. more like <ts> in English than <ch>. The short form often has the connotation of 'one more'. Sue uses a superscript <n> to represent prenasalisation in the phonetic transcription, which appears simply as an <n> in the Adzera orthography. I have changed <ng> to eng in some places and corrected a couple glosses. Glottal stops are represented with apostrophes in the Adzera orthography. I have not seen the form [iruʔun] or <iru'un>. The form I am familiar with is [iruʔrun] or <iru'run>. I have even seen a longer form, [iruʔruŋun] or <iru'ruŋun>. I'm not sure if Sue's transcription is a mistake or a dialectual variant. As Sue transcribed, the short form for 'two' is [iruʔ] or <iru'>, and it can mean not only 'two', but also 'a few'. The long form always refers specifically to 'two'.
Adzera, Papua New Guinea	adze1240-1	adze1240	adze1240	five	iɾuʔ dɑ iɾuʔ dɑ bɪts	( 2 + 2 + 1)		chan2019	Adzera.htm		Mr. David Howard, SIL International, Papua New Guinea, May 20, 2011.	According to Sue Holzknecht's old data recorded 20 years ago. Adzera people might have an old counting system combines a counting system based on two with tallying on hand and feet up to 20. However, now Adzera really has only two basic numbers: one and two. Everything else is either a combination of those two numbers or some anatomical extension like one hand, two hands, etc. But Adzera never, to my knowledge, had a full counting system as some PNG languages do where they count different points on the body. I don't know what other Austronesian counting systems are like. Having only two and one and then having to use a hand for five makes for a very inefficient counting system, and traditionally they probably didn't have to do a lot of precision counting and math in their culture. So what has happened is Tok Pisin and English counting systems have largely replaced the Adzera counting system. When talking about only a few items, they will often use the Adzera numerals, but they sometimes use the Tok Pisin and English numbers even for small numbers and, in my experience, they always use Tok Pisin or English numerals for larger numbers (probably anything larger than five). Because those and many of the numbers Holzknecht gave would most likely be substituted with English and Tok Pisin numbers. You would be much more likely to hear 'five' or 'faivpela' or see '5' or '5-pela' written than to hear or see 'iruʔ da iruʔ da bitsʔ (two and two and one) or 'baŋin bitsintaʔ' (one hand) or 'baŋi marafain' (hand one-side). Sue uses a <c> to represent the alveo-palatal affricate, which is represented by <ts> in Adzera and usually <ch> in English. This is often pronounced closer to [ts] in English. For 'one' I often hear [bisinta'], rather than [bitsinta'], but generally continue to spell it with a <ts> rather than just <s>. This may be dialect variation. The short form is [bits], with the <ts> consistently more alveolar than alveo-palatal, i.e. more like <ts> in English than <ch>. The short form often has the connotation of 'one more'. Sue uses a superscript <n> to represent prenasalisation in the phonetic transcription, which appears simply as an <n> in the Adzera orthography. I have changed <ng> to eng in some places and corrected a couple glosses. Glottal stops are represented with apostrophes in the Adzera orthography. I have not seen the form [iruʔun] or <iru'un>. The form I am familiar with is [iruʔrun] or <iru'run>. I have even seen a longer form, [iruʔruŋun] or <iru'ruŋun>. I'm not sure if Sue's transcription is a mistake or a dialectual variant. As Sue transcribed, the short form for 'two' is [iruʔ] or <iru'>, and it can mean not only 'two', but also 'a few'. The long form always refers specifically to 'two'.
Adzera	adze1240-2	adze1240	adze1240	five	bangi bitsinta	One informant said that counting on hands had been introduced and that five could be expressed as bangi bitsinta ‘hand one’, but that this was not common.		barlowpacific	Smith1988	p.66		
Adzera	adze1240-2	adze1240	adze1240	five	iruc da iruc da bits	2 + 2 + 1		barlowpacific	Smith1988	p.66		
Adzera, Papua New Guinea	adze1240-2	adze1240	adze1240	five	iruʔ da iruʔ ( 2 + 2 + 1 ) baŋ biciⁿitaʔ	(litː 'one hand' )		chan2019	Adzera.htm		Dr. Susanne Holzknecht. Department of Linguistics, The Australian National University, Canberra, Australia. October 21, 1998.	Adzera counting system combines a counting system based on two with tallying on hand and feet.
Ngariawan	adze1240-3	adze1240	adze1240	five	iru da bits da iru	2 + 1 + 2		barlowpacific	Smith1988	p.67		
ˈacela	adze1240-4	adze1240	adze1240	five	eruʔdaerudabits			barlowpacific	Grace1955pdf51	p.31		
Adzera, Papua New Guinea	adze1240-1	adze1240	adze1240	hand	bɑŋin	( litː one hand )		chan2019	Adzera.htm		Mr. David Howard, SIL International, Papua New Guinea, May 20, 2011.	According to Sue Holzknecht's old data recorded 20 years ago. Adzera people might have an old counting system combines a counting system based on two with tallying on hand and feet up to 20. However, now Adzera really has only two basic numbers: one and two. Everything else is either a combination of those two numbers or some anatomical extension like one hand, two hands, etc. But Adzera never, to my knowledge, had a full counting system as some PNG languages do where they count different points on the body. I don't know what other Austronesian counting systems are like. Having only two and one and then having to use a hand for five makes for a very inefficient counting system, and traditionally they probably didn't have to do a lot of precision counting and math in their culture. So what has happened is Tok Pisin and English counting systems have largely replaced the Adzera counting system. When talking about only a few items, they will often use the Adzera numerals, but they sometimes use the Tok Pisin and English numbers even for small numbers and, in my experience, they always use Tok Pisin or English numerals for larger numbers (probably anything larger than five). Because those and many of the numbers Holzknecht gave would most likely be substituted with English and Tok Pisin numbers. You would be much more likely to hear 'five' or 'faivpela' or see '5' or '5-pela' written than to hear or see 'iruʔ da iruʔ da bitsʔ (two and two and one) or 'baŋin bitsintaʔ' (one hand) or 'baŋi marafain' (hand one-side). Sue uses a <c> to represent the alveo-palatal affricate, which is represented by <ts> in Adzera and usually <ch> in English. This is often pronounced closer to [ts] in English. For 'one' I often hear [bisinta'], rather than [bitsinta'], but generally continue to spell it with a <ts> rather than just <s>. This may be dialect variation. The short form is [bits], with the <ts> consistently more alveolar than alveo-palatal, i.e. more like <ts> in English than <ch>. The short form often has the connotation of 'one more'. Sue uses a superscript <n> to represent prenasalisation in the phonetic transcription, which appears simply as an <n> in the Adzera orthography. I have changed <ng> to eng in some places and corrected a couple glosses. Glottal stops are represented with apostrophes in the Adzera orthography. I have not seen the form [iruʔun] or <iru'un>. The form I am familiar with is [iruʔrun] or <iru'run>. I have even seen a longer form, [iruʔruŋun] or <iru'ruŋun>. I'm not sure if Sue's transcription is a mistake or a dialectual variant. As Sue transcribed, the short form for 'two' is [iruʔ] or <iru'>, and it can mean not only 'two', but also 'a few'. The long form always refers specifically to 'two'.
Adzera	adze1240-2	adze1240	adze1240	hand	bangi	One informant said that counting on hands had been introduced and that five could be expressed as bangi bitsinta ‘hand one’, but that this was not common.		barlowpacific	Smith1988	p.66		
Adzera, Papua New Guinea	adze1240-2	adze1240	adze1240	hand	baŋ	(litː 'one hand' )		chan2019	Adzera.htm		Dr. Susanne Holzknecht. Department of Linguistics, The Australian National University, Canberra, Australia. October 21, 1998.	Adzera counting system combines a counting system based on two with tallying on hand and feet.
Agta of Dikaméy	agta1234-1	agta1234	agta1234	five	kɑmét			barlowpacific	Headland1979	pp.3-7		
Palanan Dumagat	agta1234-2	agta1234	agta1234	five	kɑmét			barlowpacific	Headland1965Dumagat	pp.3-7		
Kalinga	agta1234-3	agta1234	agta1234	five	limá			barlowpacific	Alviar-Calinawagan1995	pp.74-75		
Agusan Manobo, Philippines	agus1235-1	agus1235	agus1235	five	li'mɑ			chan2019	Manobo-Agusan.htm		Mr. and Mrs. Ron and Donna Schumacher, Summer Institute of Linguistics, Philippines, December 24, 1993, October 31, 2013, January 31, 2014.	Agusan Manobo has a decimal system. Now, they also use Spanish numerals adapted to Agusan Manobo phonology. For 200 the Spanish loanword isː dus sintus, 2000 is dus sintus, but the Spanish numbers are used only for counting money, while the original Manobo numbers are used for counting everything except money.
Agutyanen	1569	agut1237	agut1237	five	lima		1	abvd	caabay2018a		Caabay & Melvin (2018)	"Caabay, Marilyn A. and Melissa S. Melvin. 2018. ""Agutaynen - English
Dictionary."" Webonary.org. Linguistic Society of The Philippines.
https://agutaynen.webonary.org/"
Agutaynen, Palawan, Philippines	agut1237-1	agut1237	agut1237	five	'lima			chan2019	Agutaynon.htm		Dr. J. Stephen Quakenbush, SIL International, Philippines. March 11, 1994, October 17, 2008.	Agutaynen has a decimal system.
Agutyanen	1569	agut1237	agut1237	hand	kalima			abvd	caabay2018a		Caabay & Melvin (2018)	"Caabay, Marilyn A. and Melissa S. Melvin. 2018. ""Agutaynen - English
Dictionary."" Webonary.org. Linguistic Society of The Philippines.
https://agutaynen.webonary.org/"
Kallahan, Kayapa Proper	430	kaya1320	ahin1234	five	lima		1	abvd	136553		P.O. Afable in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Kallahan, Kayapa Proper	ahin1234-1	ahin1234	ahin1234	five	lima			barlowpacific	Reid1971	pp.75, 82, 85, 92, 110, 113, 129, 132, 146, 149, 154		
Kalanguya, Philippines	ahin1234-1	ahin1234	ahin1234	five	lima			chan2019	Kallahan-Kayapa.htm		Mr. Paul Julian Santiago, PhD Student, Osaka University, Osaka, Japan, February 18, 2014.	Kalanguya has a decimal system. Kalanguya (Kayapa) is listed in Ethnologue as Kayapa Kallahan. However, native speakers use the name “Kalanguya” when referring to their language and ethnic group. The language is also spoken in municipalities of Ambaguio, Aritao and Sta.Fe, Nueva Vizcaya. Note that the 'n' in 200 and 800 is the linker [ni]. Phonetic Chart of Kalanguya ( Sourceː Santiago, P.J. 2010. The Phonetic Structure of Kalanguya. B.A. Thesis. University of the Philippines, Diliman) Consonantsː Bilabial Alveolar Palatal Velar Uvular Glottal Plosive p, bʷ t, d ɡ q Fricative h Nasal m n ŋ Lateral approximant l Approximant j Consonants (coarticulated) w voiced labialized velar approximant. Note: Kalanguya also has an alveolar fricative [s] and alveolar flap [ɾ] but only in loanwords. Vowelsː Front Central Back Closed ɪ ʊ Closed-mid Open-mid ɜ Open a
Kayapa Kallahan, Philippines	ahin1234-2	ahin1234	ahin1234	five	li'ma			chan2019	Kallahan-Kayapa.htm		Santiago, P.J. 2010. The Phonetic Structure of Kalanguya. B.A. Thesis. University of the Philippines, Diliman) Consonantsː Bilabial Alveolar Palatal Velar Uvular Glottal Plosive p, bʷ t, d ɡ q Fricative h Nasal m n ŋ Lateral approximant l Approximant j Consonants (coarticulated) w voiced labialized velar approximant. Note: Kalanguya also has an alveolar fricative [s] and alveolar flap [ɾ] but only in loanwords. Vowelsː Front Central Back Closed ɪ ʊ Closed-mid Open-mid ɜ Open a	Kayapa Kallahan has a decimal system similar to that of Karao. The data was from Kalanguya dialect.
Kallahan, Kayapa Proper	430	kaya1320	ahin1234	hand	taklay		30	abvd	136553		P.O. Afable in Reid (1971)	Reid, L.A. (1971). Philippine Minor Languages: Word Lists and Phonologies. Oceanic Linguistics Special Publication no. 8. University of Hawaii Press.
Psohoh - Metelen sector	aigh1235-1	aigh1235	aigh1235	five	e sip			barlowpacific	Johnston1980	p.127		
Aighon, Papua New Guinea	aigh1235-1	aigh1235	aigh1235	five	ɛsip			chan2019	Aighon.htm		Mr. Iljae Jung, SIL International, Papua New Guinea, June 4, 2011.	Aighon or Psohoh has a traditional quinary system of counting. The word ''popɪpɪ'' means the highest cardinal number in Aighon area. It is interpreted into hundred or thousand or more. But this word is hardly used. Nobody except very old men doesn't know it. Most of young men use English cardinal numbers, so a few young men know their own cardinal numbers.
Aighon - Zebu village	aigh1235-2	aigh1235	aigh1235	five	ɛsip̚			barlowpacific	Spencer2013	pp.80-81		
Moewe-Haven	aikl1237-1	aikl1237	aikl1237	five	liem			barlowpacific	Chinnery1928	pp.99-100		
Aiklep (Kaul), Papua New Guinea	aikl1237-1	aikl1237	aikl1237	five	liem			chan2019	Kaul-Aiklep.htm		Mr. Wayne Baker, New Tribes Mission, Papua New Guinea, August 18, 2015.	Kaul or Aiklep has a quinary system of counting. They use English or Pidgin numbers more frequently now. Note that the 'ng' in Romanized spellings is = 'ŋ'.
Moewehafen (Moewehafen proper)	aikl1237-2	aikl1237	aikl1237	five	liem			barlowpacific	Lean1985Vol04	p.65	2 IMPs. Villages: Aviklo, Nakalo.	
Aiklep - Asailo village	aikl1237-3	aikl1237	aikl1237	five	lyim			barlowpacific	Spencer2013	pp.88-89		
Axamb (Avok)	1094	axam1237	ajie1238	five	ŋo-rəm		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Houaïlou	1188	houa1234	ajie1238	five	kani		1,15	abvd	34363		Leenhardt (1935)	Leenhardt, M. 1935. Vocabulaire et Grammaire de La Langue Houaïlou. Institut D'ethnologie. Paris
Ajiø	1482	ajie1238	ajie1238	five	kani		1,15	abvd	303461		Leenhardt (1946)	Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie
ajie (Houaïlou)	ajie1238-1	ajie1238	ajie1238	five	kani			barlowpacific	Grace1955pdfNotes	p.9 [of pdf]		
Ajië (Houailou), New Caledonia	ajie1238-1	ajie1238	ajie1238	five	kaniː			chan2019	Ajie.htm		Dr. Claire Moyse-Faurie, LACITO-CNRS, Paris, France. June 16, 1997.	Ajië has a traditional quinary-vigesimal system based on 'hands' and 'persons'. Note that fifteen is expressed by ''ten plus another side (of hand)''.
Houaïlou	1188	houa1234	ajie1238	hand	e		11	abvd	34363		Leenhardt (1935)	Leenhardt, M. 1935. Vocabulaire et Grammaire de La Langue Houaïlou. Institut D'ethnologie. Paris
Ajiø	1482	ajie1238	ajie1238	hand	kowi ø xerua		28	abvd	303461		Leenhardt (1946)	Leenhardt, Maurice. 1946. Langues et dialectes de l'Austro-Mèlanèsie
Akei (Penantsiro)	1010	akei1237	akei1237	five	lima		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Akei	1023	akei1237	akei1237	five	lima		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Akei (Tasiriki)	1079	akei1237	akei1237	five	mo-lima		1	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Akei, Vanuatu	akei1237-1	akei1237	akei1237	five	mo-lima			chan2019	Akei.htm		Dr. Jean-Michel Charpentier, LACiTO ( Langues et civilisations à tradition orale ) / CNRS, Paris, France through Prof. Nicolas Ossart, December 1, 2004.	Akei is an endangered language spoken Southwest of Santo Island, Vanuatu. West. This language has a traditional quinary / decimal counting system. New data needed to compare with the old one.
Akei (Penantsiro)	1010	akei1237	akei1237	hand	pisui lima-		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Akei	1023	akei1237	akei1237	hand	lima-		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Akei (Tasiriki)	1079	akei1237	akei1237	hand	lima-ku		1, 64	abvd	52375		Tryon (1976)	Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.
Aklanon - Bisayan	43	akla1241	akla1240	five	lima		1	abvd	Zorc-43-2005		Dave Zorc	
Inakeanon (Aklanon), Philippines	akla1241-1	akla1241	akla1240	five	limáh | alas síŋkoh '5 o'clock'			chan2019	Inakeanon-Aklanon.htm		Dr. R. David Zorc, SIL International, Philippines. April 13, 2019.	Aklanon (Inakeanon) is spoken in northern Panay Island, Philippines, The Austronesian and Spanish system seem to co-exist well in Aklanon. They tend to count up to ten, and use hundreds and thousands with the Austronesian (inherited) system. But Spanish has encroached as an option for events such as the hours of the day which never use the native system. '1, one' isaɣáh [strictly in counting] < PAN *isá + PSP *da [discourse particle 'only'], otherwise in enumerating an archaic frozen classifier system is used: sambáto [one inanimate], sambílog [one animate], sambúʔo [one cylindrical object with liquid inside: egg, coconut, can] 400 ápʔat ka gatós | kwatro syéntos 800 waɣóŋ gatós | otso syéntos Note on accent. An open accented penult vowel is long and high. Technically the colon I've used above is redundant, but for phonetic purposes more accurate for anyone who would not know the rules of Central Philippine accentual system.
Inakeanon (Aklanon), Philippines	akla1241-2	akla1241	akla1240	five	li'ma			chan2019	Inakeanon-Aklanon.htm		Mr. Paul Jensen, SIL International, Philippines. July 24, 1993.	Inakeanon (Aklanon) has a decimal system, like most Visayan languages, the Inonhan people also have Spanish influence and use Spanish numerals after ten now.
Aklanon - Bisayan	43	akla1241	akla1240	hand	ʔalí:mah		1	abvd	Zorc-43-2005		Dave Zorc	
Akolet	1395	akol1237	akol1237	five	lim		1	abvd	Sato-1395-2016		Hiroko Sato	
Gasmata (Ablingi Island)	akol1237-1	akol1237	akol1237	five	lim			barlowpacific	Lean1985Vol04	p.61	3 CSQs. Villages: Ablingi Island, Alepen, Anato.	
Akolet	1395	akol1237	akol1237	hand	lama		1,64	abvd	Sato-1395-2016		Hiroko Sato	
Inagta Alabat	1635	alab1246	alab1246	five	liˈma		1	abvd	Lobel2020		Lobel et al. 2020.	Lobel, Jason William, Amy Jugueta Alpay, Rosie Susutin Barreno, & Emelinda Jugueta Barreno. 2020. Notes from the Field: Inagta Alabat: A moribund Philippine language, with supporting audio. Language Documentation & Conservation 14: 1-57.
Lopez Agta, Philippines	alab1246-1	alab1246	alab1246	five	li.ˈma			chan2019	Lopez-Agta.htm		Dr. Aldrin L. Salipande, Associate Professor English and Literature Department College of Education, Arts and Sciences, National University, Manila, the Philippines, December 2, 2017.	Lopez Agta might have a decimal system, new data needed.
Lopez Agta, Philippines	alab1246-1	alab1246	alab1246	five	lima			chan2019	Lopez-Agta.htm		Dr. Aldrin L. Salipande, Associate Professor English and Literature Department College of Education, Arts and Sciences, National University, Manila, the Philippines, December 2, 2017.	Lopez Agta might have a decimal system, new data needed.
Inagta Alabat	1635	alab1246	alab1246	hand	ʔaˈlimaʔ		1	abvd	Lobel2020		Lobel et al. 2020.	Lobel, Jason William, Amy Jugueta Alpay, Rosie Susutin Barreno, & Emelinda Jugueta Barreno. 2020. Notes from the Field: Inagta Alabat: A moribund Philippine language, with supporting audio. Language Documentation & Conservation 14: 1-57.
Alangan	1270	alan1249	alan1249	five	limá		1	abvd	311529		Barbian (1977)	Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.
Alangan, Philippines	alan1249-1	alan1249	alan1249	five	li'ma			chan2019	Alangan.htm		Ms. Anni Bösch, OMF (Overseas Missionary Fellowship), Mindoro Field, Philippines, January 27, 1995, February 28, 2014.	"Alangan has a decimal system. Note that we have only used the letter o, no u, in the alphabet, because the initial o in a word becomes automatically an u. e.g. opat= upat, tolo= tulo, saypolo=saypulo etc. 10= just saypolo, it is possible to say, osai ka saypolo, but it will need the ka, as you have in the ""dowai ka saypolo"" etc."
Alangan	1270	alan1249	alan1249	hand	dalukap		3,44	abvd	311529		Barbian (1977)	Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.
Bikol (Buhinon)	710	buhi1243	alba1269	five	liˈma		1	abvd	olson2009		Kenneth S. Olson, et. al.	"ISO 639–3: bhk Spoken in Buhi, Camarines Sur Province, Philippines. 

Source: Olson, Kenneth S., Emy T. Ballenas, and Nilo M. Borromeo. ""Buhi’non (Bikol) Digital Wordlist: Presentation Form."" In Language Documentation & Conservation, Vol. 3, No. 2, pp. 213-225. University of Hawai'i, 2009.

Recorded in 2006 at the SIL Center in Bagabag, Nueva Vizcaya Province, Philippines. IPA is used. Apostrophes signify stress, not glottal stops."
Buhi Bicol	alba1269-1	alba1269	alba1269	five	ˈlima			barlowpacific	Anonymous1984Bicol	pp.2-5		
Buhi'non Bikol, Philippines	buhi1243-1	buhi1243	alba1269	five	li'ma			chan2019	Bikol-Buhinon.htm		Ms. Emy Ballenas (TAP) Translation Association of Philippines, June 19, 2006.	Buhi'non Bikol or Albay Bikol numbers beyond ten have been replaced by Spanish numbers.
Bikol (Buhinon)	710	buhi1243	alba1269	hand	kaˈmət		21,68	abvd	olson2009		Kenneth S. Olson, et. al.	"ISO 639–3: bhk Spoken in Buhi, Camarines Sur Province, Philippines.

Source: Olson, Kenneth S., Emy T. Ballenas, and Nilo M. Borromeo. ""Buhi’non (Bikol) Digital Wordlist: Presentation Form."" In Language Documentation & Conservation, Vol. 3, No. 2, pp. 213-225. University of Hawai'i, 2009.

Recorded in 2006 at the SIL Center in Bagabag, Nueva Vizcaya Province, Philippines. IPA is used. Apostrophes signify stress, not glottal stops."
Alor	alor1247-1	alor1247	alor1247	five	léma			barlowpacific	Stokhof1983Vol6	pp.294-295		
Alor, Indonesia	alor1247-1	alor1247	alor1247	five	ləma			chan2019	Alorese.htm		Mr. Andreas Malaikosa, SIL-International, June 22, 2006.	Alorese was regarded as a dialect of Lamahotot before.
Alorese, Bana	alor1247-bana	alor1247	alor1247	five	lɛma			lexirumah	sulistyono18			long/double segments (both vowels and consonants) may be contrastive but are underrepresented in the orthography column
Alorese, Baranusa	alor1247-baran	alor1247	alor1247	five	lɛmːa			lexirumah	klamer03			
Alorese, Baranusa	alor1247-baran-YS	alor1247	alor1247	five	lema			lexirumah	sulistyono18			long/double segments (both vowels and consonants) may be contrastive but are underrepresented in the orthography column
Alorese, Beaong Onong	alor1247-beaon	alor1247	alor1247	five	lema			lexirumah	sulistyono18			long/double segments (both vowels and consonants) may be contrastive but are underrepresented in the orthography column
Alorese, Alor-Besar	alor1247-besar	alor1247	alor1247	five	lɛma			lexirumah	moro16			
Alorese, Buaya	alor1247-buaya	alor1247	alor1247	five	lema			lexirumah	sulistyono18			long/double segments (both vowels and consonants) may be contrastive but are underrepresented in the orthography column
